,Place_Grew_Up,Price_Importance,Brand_Importance,Peer_Importance,Utility_Importance,Track_Expenditures,Expenditure_Graph,Justify_Unexpected_Expense,Unplanned_Purchases,Peer_Influence,Finance_Confidence,Monthly_Spend,Group,Budget_FoodDining,Budget_Travel,Budget_Fashion,Budget_Subscriptions,Budget_Entertainment,Risk_score
127,🏘️ Small town,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,2,3,3,3,1,Yes,No,No,No,No,2.35
128,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,2,4,5,3,1,Yes,No,No,No,No,4.22
129,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,3,5,4,2,Yes,Yes,Yes,Yes,Yes,48.62
130,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,3,1,4,2,1,Yes,Yes,No,No,No,3.56
131,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes,48.49
132,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,3,3,4,3,1,Yes,No,Yes,No,No,3.01
133,🏢 Medium-sized city,Not important,Not important,Very important,Not important,I do not keep the track,Uniform Daily Expenses,,3,2,4,1,1,No,No,No,No,Yes,5.49
134,🏘️ Small town,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,3,1,3,3,1,Yes,No,No,No,No,3.82
135,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,1,2,2,10,3,Yes,No,Yes,No,No,98.71
136,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,4,3,5,2,Yes,No,No,No,Yes,48.52
137,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,Social celebrations or parties.,3,1,3,5,2,Yes,No,No,No,No,48.56
138,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,2,3,4,2,1,No,No,No,No,No,3.06
139,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,Yes,No,No,Yes,48.66
140,🏘️ Small town,Very important,Very important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,A 50% discount on a brand I highly value.,1,1,4,2,1,Yes,Yes,No,No,No,6.18
141,🏢 Medium-sized city,Very important,Not important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,2,2,2,4,2,Yes,No,No,No,No,48.36
142,🏘️ Small town,Very important,Not important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,,3,2,5,2,1,Yes,Yes,Yes,No,No,3.84
143,🏢 Medium-sized city,Very important,Not important,Not important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,,1,1,4,3,1,Yes,Yes,Yes,No,No,5.99
144,🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,Social celebrations or parties.,2,4,3,10,3,Yes,Yes,No,Yes,Yes,98.92
145,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,2,3,3,2,1,No,Yes,No,No,No,2.02
146,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,2,3,5,3,1,Yes,No,No,No,No,2.46
147,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes,99.31
148,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,,3,2,3,2,1,Yes,Yes,No,No,No,2.98
149,🏙️ Big metro city,Very important,Very important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,4,3,4,3,1,Yes,Yes,No,No,Yes,7.09
150,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,4,4,5,9,3,Yes,Yes,Yes,No,Yes,99.16
151,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,3,10,3,Yes,Yes,Yes,Yes,Yes,99.61
152,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",3,5,3,4,2,Yes,Yes,Yes,Yes,Yes,49.05
153,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,3,5,7,3,Yes,Yes,Yes,Yes,Yes,99.56
154,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,3,4,5,4,2,Yes,No,No,No,No,48.53
155,🏘️ Small town,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A 50% discount on a brand I highly value.,5,5,2,5,2,Yes,No,No,No,Yes,50.47
156,🌾 Rural area,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,4,10,3,Yes,Yes,Yes,Yes,Yes,99.88
157,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,5,4,2,Yes,No,No,No,No,48.46
158,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,3,3,3,1,1,Yes,Yes,No,No,No,2.72
159,🏙️ Big metro city,Not important,Slightly important,Not important,Not important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",5,2,4,10,3,Yes,Yes,Yes,No,No,99.47
160,🏘️ Small town,Very important,Slightly important,Not important,Very important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,2,4,3,2,1,Yes,No,No,No,No,4.38
161,🏙️ Big metro city,Very important,Very important,Slightly important,Very important,I check my bank balance occasionally.,Uniform Daily Expenses,"A 50% discount on a brand I highly value., A planned trip with friends.",1,3,3,5,2,Yes,No,Yes,Yes,Yes,49.33
162,🏘️ Small town,Not important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,Social celebrations or parties.,3,3,2,4,2,No,Yes,Yes,No,No,48.73
163,🌾 Rural area,Very important,Not important,Not important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",2,1,5,4,2,Yes,No,Yes,No,No,49.0
164,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,1,1,3,4,2,Yes,No,No,No,No,48.76
165,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes,48.49
166,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,Social celebrations or parties.,3,2,3,6,2,Yes,No,No,No,Yes,48.48
167,🏙️ Big metro city,Not important,Slightly important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,2,10,3,No,Yes,Yes,Yes,No,100.0
168,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,1,1,5,1,1,Yes,No,Yes,No,No,6.63
169,🏙️ Big metro city,Slightly important,Very important,Not important,Very important,I check my bank balance occasionally.,Uniform Daily Expenses,Social celebrations or parties.,4,3,5,5,2,Yes,Yes,Yes,Yes,Yes,49.55
170,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,4,9,3,Yes,Yes,No,No,No,98.76
171,🏘️ Small town,Slightly important,Not important,Not important,Not important,I do not keep the track,Uniform Daily Expenses,,1,1,1,1,1,No,Yes,No,No,No,7.84
172,🏘️ Small town,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,Social celebrations or parties.,5,3,3,1,1,Yes,No,Yes,No,No,12.2
173,🏢 Medium-sized city,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,2,2,4,2,1,Yes,Yes,Yes,No,No,1.67
174,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,3,5,4,9,3,Yes,No,Yes,Yes,Yes,99.01
175,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,4,10,3,Yes,Yes,Yes,Yes,Yes,99.61
176,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,2,2,4,2,1,Yes,No,No,No,Yes,1.72
177,🏘️ Small town,Very important,Slightly important,Not important,Very important,I do not keep the track,Irregular and Random Spending,,2,1,4,1,1,Yes,No,No,No,No,3.58
178,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,,2,2,3,2,1,Yes,No,No,No,No,1.55
179,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,3,4,4,2,No,Yes,No,Yes,Yes,48.45
180,🏢 Medium-sized city,Very important,Not important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,3,1,5,3,1,Yes,Yes,Yes,No,No,4.63
181,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,,4,3,4,10,3,Yes,Yes,No,Yes,Yes,99.04
182,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,2,1,10,3,Yes,No,No,No,No,98.85
183,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,Social celebrations or parties.,3,2,3,5,2,Yes,No,No,No,No,48.46
184,🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,3,5,4,2,Yes,No,No,No,No,48.89
185,🏙️ Big metro city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,3,1,4,3,1,Yes,Yes,No,No,Yes,4.08
186,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Uniform Daily Expenses,,1,3,3,10,3,Yes,Yes,No,Yes,No,98.9
187,🏘️ Small town,Slightly important,Very important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A 50% discount on a brand I highly value.,2,2,5,3,1,Yes,No,No,No,No,3.42
188,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,,4,3,4,10,3,Yes,Yes,No,Yes,Yes,99.04
189,🏘️ Small town,Slightly important,Slightly important,Not important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",1,4,2,2,1,Yes,No,No,No,No,8.77
190,🏢 Medium-sized city,Very important,Slightly important,Very important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",2,2,3,6,2,Yes,No,No,No,Yes,48.16
191,🏙️ Big metro city,Very important,Slightly important,Very important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,4,3,3,1,1,Yes,Yes,No,No,No,7.08
192,🏘️ Small town,Very important,Slightly important,Very important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,3,1,9,3,Yes,No,No,No,No,98.98
193,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,3,8,3,Yes,Yes,No,No,No,98.61
194,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,2,10,3,Yes,Yes,Yes,Yes,Yes,99.81
195,🌾 Rural area,Very important,Not important,Not important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",3,1,5,4,2,Yes,No,Yes,No,No,49.09
196,🏙️ Big metro city,Slightly important,Slightly important,Not important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,3,4,2,1,Yes,Yes,No,Yes,Yes,4.92
197,🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,Social celebrations or parties.,2,4,3,10,3,Yes,Yes,No,Yes,Yes,98.92
198,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",2,2,2,8,3,Yes,Yes,Yes,Yes,No,98.87
199,🏘️ Small town,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,4,3,1,Yes,Yes,No,No,No,5.62
200,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,4,9,3,Yes,Yes,No,No,No,98.76
201,🏢 Medium-sized city,Very important,Not important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,2,4,3,2,1,Yes,No,No,No,No,4.2
202,🏙️ Big metro city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,3,3,4,3,1,Yes,No,Yes,No,Yes,3.75
203,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,No,Yes,No,No,48.81
204,🌾 Rural area,Very important,Slightly important,Not important,Very important,I do not keep the track,Uniform Daily Expenses,,1,1,1,1,1,No,No,No,No,No,8.52
205,🏙️ Big metro city,Very important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,3,2,1,2,1,Yes,Yes,Yes,No,No,4.43
206,🏘️ Small town,Very important,Not important,Not important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,3,1,1,Yes,Yes,No,No,No,6.26
207,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,I do not keep the track,Irregular and Random Spending,,1,2,3,2,1,Yes,No,No,No,No,5.26
208,🏢 Medium-sized city,Very important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,4,4,3,1,Yes,No,No,Yes,No,9.04
209,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,,2,3,1,1,1,No,Yes,No,No,Yes,3.69
210,🌾 Rural area,Very important,Slightly important,Not important,Very important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,2,2,4,1,1,Yes,Yes,No,No,No,4.1
211,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,4,4,2,Yes,No,No,No,No,48.4
212,🏙️ Big metro city,Not important,Very important,Slightly important,Not important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",5,2,4,10,3,Yes,Yes,Yes,No,No,99.45
213,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,5,3,5,2,Yes,Yes,No,No,Yes,48.77
214,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,1,2,2,10,3,Yes,No,Yes,No,No,98.71
215,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,3,4,5,4,2,Yes,No,No,No,No,48.53
216,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A planned trip with friends.,3,2,4,4,2,Yes,Yes,Yes,No,Yes,48.27
217,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes,99.31
218,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,5,2,5,2,Yes,Yes,No,No,Yes,48.82
219,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,3,9,3,Yes,Yes,No,No,No,98.76
220,🏘️ Small town,Slightly important,Very important,Not important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,3,2,1,Yes,Yes,No,No,No,3.54
221,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",2,3,3,4,2,No,Yes,No,No,No,48.18
222,🏙️ Big metro city,Slightly important,Slightly important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,2,3,4,3,1,Yes,Yes,No,Yes,Yes,5.02
223,🏙️ Big metro city,Not important,Very important,Slightly important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,4,3,10,3,No,Yes,Yes,Yes,No,99.78
224,🏙️ Big metro city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,4,5,3,7,3,Yes,No,No,No,No,99.15
225,🏘️ Small town,Very important,Very important,Very important,Very important,I do not keep the track,Uniform Daily Expenses,,1,5,5,5,2,Yes,No,No,No,No,49.33
226,🏢 Medium-sized city,Slightly important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,3,3,3,2,1,Yes,Yes,No,No,Yes,3.67
227,🏘️ Small town,Very important,Not important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,3,1,3,3,1,Yes,Yes,Yes,No,No,4.54
228,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,4,9,3,Yes,No,Yes,Yes,Yes,98.85
229,🏘️ Small town,Slightly important,Not important,Slightly important,Not important,I do not keep the track,Spend a lot once and then low spending for rest,A planned trip with friends.,3,1,4,3,1,Yes,No,No,No,No,4.37
230,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",2,3,3,4,2,No,Yes,No,No,No,48.18
231,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,4,9,3,Yes,No,Yes,Yes,Yes,98.85
232,🏙️ Big metro city,Very important,Very important,Very important,Very important,I do not keep the track,Irregular and Random Spending,,5,2,4,4,2,Yes,No,No,No,Yes,49.9
233,🏢 Medium-sized city,Not important,Very important,Slightly important,Not important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",4,4,5,6,2,No,No,Yes,No,Yes,49.16
234,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,1,1,3,4,2,Yes,No,No,No,No,48.76
235,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,4,3,5,2,Yes,Yes,No,No,Yes,48.44
236,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,1,3,5,1,1,Yes,Yes,Yes,Yes,Yes,7.55
237,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,2,1,10,3,Yes,No,No,No,No,98.85
238,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,4,3,8,3,Yes,Yes,Yes,Yes,No,99.0
239,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A 50% discount on a brand I highly value.,4,2,5,6,2,No,No,Yes,No,No,48.89
240,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,1,1,2,1,Yes,No,No,No,No,4.38
241,🏘️ Small town,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,3,4,3,1,Yes,Yes,Yes,No,No,2.71
242,🏢 Medium-sized city,Very important,Slightly important,Very important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",3,1,4,2,1,Yes,No,No,No,No,6.28
243,🏙️ Big metro city,Not important,Slightly important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,2,10,3,No,Yes,Yes,Yes,No,100.0
244,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,,1,2,4,2,1,Yes,No,No,No,No,5.15
245,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,2,4,5,2,Yes,No,No,No,No,48.21
246,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,Social celebrations or parties.,3,3,4,1,1,Yes,Yes,Yes,Yes,Yes,6.39
247,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,4,2,8,3,Yes,Yes,Yes,Yes,No,99.03
248,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,2,5,2,Yes,No,No,No,Yes,48.73
249,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,Social celebrations or parties.,3,3,3,4,2,Yes,No,No,Yes,No,48.76
250,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Not important,I do not keep the track,Spend a lot once and then low spending for rest,,3,2,3,4,2,No,Yes,No,No,No,48.33
251,🏘️ Small town,Very important,Very important,Very important,Very important,I do not keep the track,Uniform Daily Expenses,,2,4,5,5,2,Yes,No,No,No,No,48.65
252,🏙️ Big metro city,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,2,2,2,2,1,Yes,No,No,No,No,2.55
253,🏙️ Big metro city,Not important,Very important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,2,10,3,No,Yes,Yes,Yes,No,100.0
254,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A planned trip with friends.,4,2,4,4,2,Yes,Yes,Yes,No,Yes,48.8
255,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,5,2,5,2,Yes,Yes,No,No,Yes,48.82
256,🏘️ Small town,Slightly important,Not important,Not important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",2,1,3,1,1,Yes,Yes,No,No,No,6.49
257,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,4,9,3,Yes,Yes,Yes,No,Yes,99.79
258,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,,1,1,3,1,1,Yes,Yes,No,No,No,5.63
259,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,4,10,3,Yes,Yes,Yes,Yes,Yes,99.61
